rat_id,study_day,condition,treatment,trial_num,epoch_id,state,duration
5,8,HC,0,3,0,phasic,1.9100000000000819
5,8,HC,0,3,1,phasic,3.6119999999998527
5,8,HC,0,3,2,phasic,2.755999999999858
5,8,HC,0,3,3,phasic,3.5599999999999454
5,8,HC,0,3,0,tonic,48.98199999999997
5,8,HC,0,3,1,tonic,29.076000000000022
5,8,HC,0,3,2,tonic,44.6880000000001
5,8,HC,0,3,3,tonic,22.976000000000113
5,8,HC,0,3,4,tonic,1.1520000000000437
5,8,HC,0,3,5,tonic,42.28800000000001
5,8,HC,0,2,0,phasic,2.274000000000001
5,8,HC,0,2,1,phasic,1.3520000000000323
5,8,HC,0,2,2,phasic,0.9959999999999809
5,8,HC,0,2,3,phasic,1.8000000000000114
5,8,HC,0,2,4,phasic,3.961999999999989
5,8,HC,0,2,5,phasic,1.8500000000001364
5,8,HC,0,2,6,phasic,1.8360000000000127
5,8,HC,0,2,7,phasic,1.2040000000001783
5,8,HC,0,2,8,phasic,1.930000000000291
5,8,HC,0,2,9,phasic,0.9540000000001783
5,8,HC,0,2,10,phasic,1.5720000000001164
5,8,HC,0,2,0,tonic,8.04000000000002
5,8,HC,0,2,1,tonic,11.159999999999968
5,8,HC,0,2,2,tonic,5.279999999999973
5,8,HC,0,2,3,tonic,2.5680000000000405
5,8,HC,0,2,4,tonic,51.52999999999997
5,8,HC,0,2,5,tonic,27.776000000000067
5,8,HC,0,2,6,tonic,20.419999999999845
5,8,HC,0,2,7,tonic,1.9919999999999618
5,8,HC,0,2,8,tonic,64.45800000000008
5,8,HC,0,2,9,tonic,17.705999999999904
5,8,HC,0,2,10,tonic,29.449999999999818
5,8,HC,0,2,11,tonic,24.02599999999984
5,8,HC,0,2,12,tonic,53.16199999999981
5,8,HC,0,2,13,tonic,30.48199999999997
5,8,HC,0,2,14,tonic,30.2199999999998
5,8,HC,0,4,0,phasic,1.7859999999999445
5,8,HC,0,4,1,phasic,1.1059999999999945
5,8,HC,0,4,2,phasic,1.7580000000000382
5,8,HC,0,4,3,phasic,4.155999999999949
5,8,HC,0,4,4,phasic,1.372000000000071
5,8,HC,0,4,5,phasic,1.1099999999999
5,8,HC,0,4,0,tonic,54.0
5,8,HC,0,4,1,tonic,5.716000000000008
5,8,HC,0,4,2,tonic,47.31600000000003
5,8,HC,0,4,3,tonic,12.076000000000022
5,8,HC,0,4,4,tonic,31.50999999999999
5,8,HC,0,4,5,tonic,5.731999999999971
5,8,HC,0,4,6,tonic,30.115999999999985
5,8,HC,0,4,7,tonic,9.160000000000082
5,8,HC,0,4,8,tonic,1.4079999999999018
5,8,HC,0,4,9,tonic,66.67800000000011
5,8,HC,0,4,10,tonic,41.0
5,8,HC,0,5,0,phasic,1.9800000000000182
5,8,HC,0,5,1,phasic,2.27800000000002
5,8,HC,0,5,2,phasic,1.1639999999999873
5,8,HC,0,5,3,phasic,1.29200000000003
5,8,HC,0,5,4,phasic,2.3279999999999745
5,8,HC,0,5,5,phasic,1.3700000000001182
5,8,HC,0,5,6,phasic,1.1040000000000418
5,8,HC,0,5,7,phasic,2.518000000000029
5,8,HC,0,5,8,phasic,0.9859999999998763
5,8,HC,0,5,9,phasic,1.3479999999999563
5,8,HC,0,5,10,phasic,2.2460000000000946
5,8,HC,0,5,11,phasic,1.5179999999982101
5,8,HC,0,5,12,phasic,1.504000000000815
5,8,HC,0,5,13,phasic,1.7260000000005675
5,8,HC,0,5,14,phasic,1.2880000000004657
5,8,HC,0,5,15,phasic,0.978000000000975
5,8,HC,0,5,0,tonic,9.759999999999991
5,8,HC,0,5,1,tonic,62.408000000000015
5,8,HC,0,5,2,tonic,12.427999999999997
5,8,HC,0,5,3,tonic,18.885999999999967
5,8,HC,0,5,4,tonic,1.8039999999999736
5,8,HC,0,5,5,tonic,38.0
5,8,HC,0,5,6,tonic,47.0
5,8,HC,0,5,7,tonic,89.31400000000008
5,8,HC,0,5,8,tonic,59.35799999999995
5,8,HC,0,5,9,tonic,12.895999999999958
